name,place_id,RY,Monday F,Tuesday F,Wednesday F,Thursday F,Friday F,Saturday F,Sunday F,Total F,Conclusion,categories_yelp,types,geometry_location_lng,geometry_location_lat
Vivaliment,ChIJ-f9WuekFzkwROCgjZcJAmQs,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.749008,45.4467619
Vivaliment,ChIJ-f9WuekFzkwROCgjZcJAmQs,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.749008,45.4467619
Quelque Chose Macaron Boutique,ChIJ-fN946kGzkwR1iJkCtxHnUU,2020-05-25,-8,-8,-8,-8,-3,-3,-2,-40,Remained Open,"Bakeries, Macarons","bakery,cafe,food,point of interest,store,establishment",-75.7557286,45.3913699
Quelque Chose Macaron Boutique,ChIJ-fN946kGzkwR1iJkCtxHnUU,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Bakeries, Macarons","bakery,cafe,food,point of interest,store,establishment",-75.7557286,45.3913699
Cucina da Vito,ChIJ-Qu5B4QRzkwR-AC5uExUCow,2020-05-25,0,0.5,0.5,0.5,0.5,3,0,5,Remained Open,Italian,"grocery or supermarket,restaurant,food,point of interest,store,establishment",-75.523914,45.4722188
Cucina da Vito,ChIJ-Qu5B4QRzkwR-AC5uExUCow,2020-05-27,0,-0.016666667,-0.016666667,-0.016666667,-0.016666667,-0.016666667,0,-0.083333333,Remained Open,Italian,"grocery or supermarket,restaurant,food,point of interest,store,establishment",-75.523914,45.4722188
Soul Stone Sushi Grill and Bar,ChIJ-Qu5B4QRzkwRLmiZlnyZ30g,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Sushi Bars, Asian Fusion, Bars","bar,restaurant,food,point of interest,establishment",-75.5234246,45.4723692
Soul Stone Sushi Grill and Bar,ChIJ-Qu5B4QRzkwRLmiZlnyZ30g,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Sushi Bars, Asian Fusion, Bars","bar,restaurant,food,point of interest,establishment",-75.5234246,45.4723692
Arby's,ChIJ-R_8O5__zUwR6v2IpFoXg5I,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Fast Food, Sandwiches","restaurant,meal takeaway,food,point of interest,store,establishment",-75.8879542,45.2974235
Arby's,ChIJ-R_8O5__zUwR6v2IpFoXg5I,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Fast Food, Sandwiches","meal takeaway,restaurant,food,point of interest,store,establishment",-75.8879542,45.2974235
la Cucina Ristorante,ChIJ-R_8O5__zUwRaGJ6gL1n1uw,2020-05-25,-4.5,-9,-9,-5,-5,-7,-4.5,-44,Remained Open,Italian,"restaurant,food,point of interest,establishment",-75.9050447,45.2880471
la Cucina Ristorante,ChIJ-R_8O5__zUwRaGJ6gL1n1uw,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Italian,"restaurant,food,point of interest,establishment",-75.9050447,45.2880471
Pizza Pizza,ChIJ-R_8O5__zUwRk4mCxN-pnCU,2020-05-25,1,1,1,2,1,1,1,8,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.7321511,45.4446533
Pizza Pizza,ChIJ-R_8O5__zUwRk4mCxN-pnCU,2020-05-27,-0.016666667,-0.016666667,-0.016666667,0,0,0,-0.016666667,-0.066666667,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.7321511,45.4446533
Pizza Hut,ChIJ-R_8O5__zUwRq8D6OPx3UkE,2020-05-25,2,2,2,2,1,1,2,12,Remained Open,"Pizza, Italian","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.8881205,45.2976603
Pizza Hut,ChIJ-R_8O5__zUwRq8D6OPx3UkE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Italian","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.8881205,45.2976603
Pizza Pizza,ChIJ-R_8O5__zUwRY-oMUBSwEGQ,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.5301417,45.4690613
Pizza Pizza,ChIJ-R_8O5__zUwRY-oMUBSwEGQ,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.5301417,45.4690613
Pizza Pizza,ChIJ-R_8O5__zUwRzTjD3rULGhc,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.8810928,45.3012218
Pizza Pizza,ChIJ-R_8O5__zUwRzTjD3rULGhc,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Pizza, Pizza","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.8810928,45.3012218
Remedy'sRx (Almonte),ChIJ-RicqJIa0kwRBCobaMWNahE,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-76.1821754,45.2338895
Remedy'sRx (Almonte),ChIJ-RicqJIa0kwRBCobaMWNahE,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-76.1821754,45.2338895
Patrice's Your Independent Grocer,ChIJ-RicqJIa0kwRx5EaLwIR4cU,2020-05-25,-2,-2,-2,-2,-2,-1,-1,-12,Remained Open,NA,"grocery or supermarket,pharmacy,bakery,food,health,point of interest,store,establishment",-76.1826966,45.2338085
Patrice's Your Independent Grocer,ChIJ-RicqJIa0kwRx5EaLwIR4cU,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"grocery or supermarket,pharmacy,bakery,food,health,point of interest,store,establishment",-76.1826966,45.2338085
WOW! Wing House,ChIJ-Sgst-8PzkwRZ78uBeWOUYw,2020-05-25,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.634778,45.424736
WOW! Wing House,ChIJ-Sgst-8PzkwRZ78uBeWOUYw,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"restaurant,food,point of interest,establishment",-75.634778,45.424736
Biscotti & Cie,ChIJ-SIMPZ3i0UwR0OkBOppa8GU,2020-05-25,-6.5,-6.5,-4.5,-5.5,-5.5,-4,-3,-35.5,Remained Open,"Breakfast & Brunch, Bakeries, Juice Bars & Smoothies","cafe,food,point of interest,store,establishment",-75.8111621,45.5036724
Biscotti & Cie,ChIJ-SIMPZ3i0UwR0OkBOppa8GU,2020-05-27,2.5,2.5,2.5,2.5,3.5,2,1,16.5,Remained Open,"Breakfast & Brunch, Bakeries, Juice Bars & Smoothies","cafe,food,point of interest,store,establishment",-75.8111621,45.5036724
Juluca's - Best Pizza in Barrhaven | Italian Restaurant,ChIJ-Uijghf9zUwRX3Pz8A0Elx8,2020-05-25,-4.5,0,0,0,0,0,0,-4.5,Remained Open,Cafes,"restaurant,meal delivery,bar,food,point of interest,establishment",-75.7448758,45.2844047
Juluca's - Best Pizza in Barrhaven | Italian Restaurant,ChIJ-Uijghf9zUwRX3Pz8A0Elx8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Cafes,"restaurant,meal delivery,bar,food,point of interest,establishment",-75.7448758,45.2844047
Second Cup Coffee Co.,ChIJ-VcHUbv_zUwRyj4K8vlo9oQ,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,store,establishment",-75.8777644,45.3023709
Second Cup Coffee Co.,ChIJ-VcHUbv_zUwRyj4K8vlo9oQ,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,store,establishment",-75.8777644,45.3023709
Familiprix Clinique - Jean-Francois Chapdelaine,ChIJ-w1d4IgEzkwRBrYsO6eERAA,2020-05-25,-1,-1,-1,-1,-1,-5,0,-10,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.7275454,45.429914
Familiprix Clinique - Jean-Francois Chapdelaine,ChIJ-w1d4IgEzkwRBrYsO6eERAA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"pharmacy,health,point of interest,store,establishment",-75.7275454,45.429914
Gabriel Pizza,ChIJ-w4D_UH9zUwR2y5_ZT6qiho,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Salad, Chicken Wings","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.7337218,45.2968941
Gabriel Pizza,ChIJ-w4D_UH9zUwR2y5_ZT6qiho,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,"Pizza, Salad, Chicken Wings","meal delivery,meal takeaway,restaurant,food,point of interest,establishment",-75.7337218,45.2968941
Restaurant Okimono,ChIJ-x95XtEDzkwRFeKgYC6oEg8,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7385046,45.4517582
Restaurant Okimono,ChIJ-x95XtEDzkwRFeKgYC6oEg8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"restaurant,food,point of interest,establishment",-75.7385046,45.4517582
Burrito gringo Merivale,ChIJ-xfAVqkHzkwR_VvCvVYrMZA,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Mexican,"restaurant,food,point of interest,establishment",-75.7295094,45.3449062
Burrito gringo Merivale,ChIJ-xfAVqkHzkwR_VvCvVYrMZA,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Mexican,"restaurant,food,point of interest,establishment",-75.7295094,45.3449062
Quitters Coffee,ChIJ-xHCXa34zUwRBGhZCICfQYc,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,bar,restaurant,food,point of interest,store,establishment",-75.9202847,45.2580147
Quitters Coffee,ChIJ-xHCXa34zUwRBGhZCICfQYc,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,bar,restaurant,food,point of interest,store,establishment",-75.9202847,45.2580147
The Ministry of Coffee,ChIJ-yFG1lgFzkwRfEBrOTKij-8,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,store,establishment",-75.6517232,45.4163374
The Ministry of Coffee,ChIJ-yFG1lgFzkwRfEBrOTKij-8,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,NA,"cafe,food,point of interest,store,establishment",-75.6517232,45.4163374
Cedar's,ChIJ-YgJmkUPzkwRd2N7SZSlpJI,2020-05-25,0,0,0,0,0,0,0,0,Remained Open,Grocery,"supermarket,grocery or supermarket,food,point of interest,store,establishment",-75.6449523,45.3878855
Cedar's,ChIJ-YgJmkUPzkwRd2N7SZSlpJI,2020-05-27,0,0,0,0,0,0,0,0,Remained Open,Grocery,"supermarket,grocery or supermarket,food,point of interest,store,establishment",-75.6449523,45.3878855
Tim Hortons,ChIJ-yhEQA8bzkwRi9UsDGBhZ8U,2020-05-25,-24,-24,-24,-24,-24,-24,-24,-168,Closed Since Last Reference,NA,"cafe,food,point of interest,establishment",-75.6760946,45.4908291
Tim Hortons,ChIJ-yhEQA8bzkwRi9UsDGBhZ8U,2020-05-27,0,0,0,0,0,0,0,0,Remained Closed,NA,"cafe,food,point of interest,establishment",-75.6760946,45.4908291
